"","Team","Group","RD16","QF","SF","Finals","Winner"
"1","Russia","A",85.8,36.7,18.3,9.1,4
"2","Egypt","A",26.1,11.8,6.5,3,1.5
"3","Morocco","B",18.4,8.6,4.3,2.6,1.2
"4","Portugal","B",51.7,32.1,16.6,8.8,4.1
"5","France","C",85.1,48.5,22.9,12.9,6.8
"6","Argentina","D",52.9,28,13.4,6.3,3.3
"7","Peru","C",11.4,4.1,1.6,0.9,0.2
"8","Croatia","D",83.6,39.5,18.6,9.7,4.3
"9","Costa Rica","E",42.4,16.8,7.8,3.2,1.4
"10","Germany","F",64.9,36.7,23.2,13.4,8
"11","Brazil","E",69.8,42.9,28.3,15.1,8.1
"12","Sweden","F",42.8,21,10.2,4.3,2
"13","Belgium","G",53.3,28.1,12.1,5.7,2.7
"14","Tunisia","G",51.1,23.2,10.9,4.9,1.8
"15","Colombia","H",42.4,19.2,7.6,2.8,1.1
"16","Poland","H",52.8,28,11.5,5.2,3.2
"17","Uruguay","A",68.2,24.4,9.6,4.7,2.2
"18","Iran","B",72.2,41.8,24.6,12.2,5.9
"19","Denmark","C",59.5,29.5,13,5.8,2.2
"20","Nigeria","D",28.5,12.8,6.6,2.9,1.5
"21","Serbia","E",43.2,18.2,8.5,3.5,1.7
"22","Korea Republic","F",45.9,20.7,10.6,5.1,2.3
"23","England","G",61.1,34.6,17.7,9.6,5.7
"24","Japan","H",60.1,33.2,15.3,7.7,4.7
"25","Saudi Arabia","A",19.9,7.6,3.4,1.5,0.4
"26","Spain","B",57.7,37,21.7,12.2,7.2
"27","Australia","C",44,25.8,13.8,7.3,4.6
"28","Iceland","D",35,11.8,5.1,2.4,0.7
"29","Mexico","F",46.4,23.3,14,7.8,4
"30","Switzerland","E",44.6,20.4,8.9,3.7,1.3
"31","Senegal","H",44.7,19.9,8.6,4.1,1.3
"32","Panama","G",34.5,13.8,4.8,1.6,0.6
