"","Team","Group","RD16","QF","SF","Finals","Winner"
"1","Russia","A",49.6,21.8,10.2,5.5,1.9
"2","Egypt","A",54.2,23.4,11.3,5.5,3
"3","Morocco","B",36,17.6,9.3,4.2,2.5
"4","Portugal","B",50.1,30.8,18.5,9,4.5
"5","France","C",58.2,32.8,14.8,6.9,3.3
"6","Argentina","D",60.9,31.7,16,8.2,3.9
"7","Peru","C",31.1,12.2,3.7,1.3,0.5
"8","Croatia","D",53.7,27.5,12.6,7.2,3.5
"9","Costa Rica","E",40.4,17.6,7.8,3.1,0.9
"10","Germany","F",64.6,38.3,25,13.3,7.9
"11","Brazil","E",70.8,42.1,24.9,14.2,8.9
"12","Sweden","F",42,19.3,10.2,4.1,1.6
"13","Belgium","G",56.1,29.1,13,6.9,3.2
"14","Tunisia","G",48.2,23.9,10.5,4.4,1.8
"15","Colombia","H",42.8,20.4,8.8,3.8,1.6
"16","Poland","H",51,25.8,10.9,5.3,2.3
"17","Uruguay","A",44.4,15,7,4,1.6
"18","Iran","B",55.7,31.4,17.4,9.5,4.7
"19","Denmark","C",46.2,22.7,9.9,3.9,1.7
"20","Nigeria","D",51.9,23.1,10.2,5.1,2.4
"21","Serbia","E",42.9,16.5,8.1,3.8,2.2
"22","Korea Republic","F",46.2,22.9,11.3,5.5,2.9
"23","England","G",62.8,34,17.4,9.3,4.5
"24","Japan","H",60.8,32.9,16.7,9.3,4.3
"25","Saudi Arabia","A",51.8,23.5,10.9,5.2,2
"26","Spain","B",58.2,36.5,22.5,14.5,9.4
"27","Australia","C",64.5,37.6,21.4,11.1,6.8
"28","Iceland","D",33.5,12.4,4.3,1.5,0.2
"29","Mexico","F",47.2,22.6,11.5,5.9,2.5
"30","Switzerland","E",45.9,20.7,9.9,3.9,1.9
"31","Senegal","H",45.4,20.8,9.7,3.1,0.9
"32","Panama","G",32.9,13.1,4.3,1.5,0.7
